"","SID","Age","Sex","Experimenter","Entered.by","Language","Exclude","Exclude_reason","Knower_level","Counterbalance","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","CP_subset","Numerosity"
"75","110219-KS",4.309377139,"M","EL","EL","English",0,"","4","A","SHARING","Set-matching","5",8,"14","0","0","","Subset","Large"
"76","110219-MH",4.859685147,"F","EL","EL","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"77","110219-MH",4.859685147,"F","EL","EL","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"78","110219-MH",4.859685147,"F","EL","EL","English",0,"","CP","A","SHARING","Set-matching","3",10,"8","0","0","","CP","Large"
"79","110219-MH",4.859685147,"F","EL","EL","English",0,"","CP","A","SHARING","Set-matching","4",6,"5","0","0","","CP","Large"
"80","110219-MH",4.859685147,"F","EL","EL","English",0,"","CP","A","SHARING","Set-matching","5",8,"6","0","0","","CP","Large"
"81","110319-A",3.427789185,"M","OM","OM","English",0,"","3","A","SHARING","Set-matching","1",3,"3","1","0","","Subset","Small"
"82","110319-A",3.427789185,"M","OM","OM","English",0,"","3","A","SHARING","Set-matching","2",4,"4","1","0","","Subset","Small"
"83","110319-A",3.427789185,"M","OM","OM","English",0,"","3","A","SHARING","Set-matching","3",10,"14","0","0","","Subset","Large"
"84","110319-A",3.427789185,"M","OM","OM","English",0,"","3","A","SHARING","Set-matching","4",6,"10","0","0","","Subset","Large"
"85","110319-A",3.427789185,"M","OM","OM","English",0,"","3","A","SHARING","Set-matching","5",8,"12","0","0","","Subset","Large"
"86","110219-ZL",4.325804244,"F","EL","EL","English",0,"","CP","B","SHARING","Set-matching","1",4,"5","0","0","","CP","Small"
"87","110219-ZL",4.325804244,"F","EL","EL","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"88","110219-ZL",4.325804244,"F","EL","EL","English",0,"","CP","B","SHARING","Set-matching","3",8,"11","0","0","","CP","Large"
"89","110219-ZL",4.325804244,"F","EL","EL","English",0,"","CP","B","SHARING","Set-matching","4",6,"8","0","0","","CP","Large"
"90","110219-ZL",4.325804244,"F","EL","EL","English",0,"","CP","B","SHARING","Set-matching","5",10,"10","1","0","","CP","Large"
"91","111019-L",4.358658453,"M","OM","OM","English",0,"","4","A","SHARING","Set-matching","1",3,"3","1","0","","Subset","Small"
"92","111019-L",4.358658453,"M","OM","OM","English",0,"","4","A","SHARING","Set-matching","2",4,"5","0","0","","Subset","Small"
"93","111019-L",4.358658453,"M","OM","OM","English",0,"","4","A","SHARING","Set-matching","3",10,"13","0","0","","Subset","Large"
"94","111019-L",4.358658453,"M","OM","OM","English",0,"","4","A","SHARING","Set-matching","4",6,"13","0","0","","Subset","Large"
"95","111019-L",4.358658453,"M","OM","OM","English",0,"","4","A","SHARING","Set-matching","5",8,"13","0","0","","Subset","Large"
"96","111019-M",4.501026694,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","1",4,"4","1","0","","CP","Small"
"97","111019-M",4.501026694,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","2",3,"4","0","0","","CP","Small"
"98","111019-M",4.501026694,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","3",8,"13","0","0","","CP","Large"
"99","111019-M",4.501026694,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","4",6,"9","0","0","","CP","Large"
"100","111019-M",4.501026694,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","5",10,"13","0","0","","CP","Large"
"101","111019-C",3.197809719,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"102","111019-C",3.197809719,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"103","111019-C",3.197809719,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","3",10,"13","0","0","","CP","Large"
"104","111019-C",3.197809719,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","4",6,"13","0","0","","CP","Large"
"105","111019-C",3.197809719,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","5",8,"13","0","0","","CP","Large"
"106","112219-D",4.928131417,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"107","112219-D",4.928131417,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"108","112219-D",4.928131417,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","3",10,"9","0","0","","CP","Large"
"109","112219-D",4.928131417,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
