"","SID","Age","Sex","Language","Exclude","Exclude_reason","Knower_level","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","Counting_validate","Num_lang","count_proficiency","highest_count","Numerosity","CP_subset"
"105","one-one_10","3.849418207","F","English",0,"","CP","Identical","Parallel","5","6","6",1,0,"",NA,NA,3,20,"Large","CP"
"106","one-one_10","3.849418207","F","English",0,"","CP","Identical","Orthogonal","1","4","4",1,0,"",NA,NA,3,20,"Small","CP"
"107","one-one_10","3.849418207","F","English",0,"","CP","Identical","Orthogonal","2","3","3",1,1,"pointed to each fish on eah board after laying them out ",0,0,3,20,"Small","CP"
"108","one-one_10","3.849418207","F","English",0,"","CP","Identical","Orthogonal","3","8","10",0,0,"",NA,NA,3,20,"Large","CP"
"109","one-one_10","3.849418207","F","English",0,"","CP","Identical","Orthogonal","4","10","12",0,0,"",NA,NA,3,20,"Large","CP"
"110","one-one_10","3.849418207","F","English",0,"","CP","Identical","Orthogonal","5","6","6",1,0,"",NA,NA,3,20,"Large","CP"
"111","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","1","3","3",1,1,"",NA,NA,3,20,NA,"CP"
"112","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","2","4","4",1,1,"",NA,NA,3,20,NA,"CP"
"113","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","3","5","5",1,1,"put 10, then corrected",NA,NA,3,20,NA,"CP"
"114","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","4","6","6",1,1,"",NA,NA,3,20,NA,"CP"
"115","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","5","6","7",0,1,"",NA,NA,3,20,NA,"CP"
"116","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","6","5","6",0,1,"put 10, then 6",NA,NA,3,20,NA,"CP"
"117","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","7","4","4",1,1,"",NA,NA,3,20,NA,"CP"
"118","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","8","5","5",1,1,"",NA,NA,3,20,NA,"CP"
"119","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","9","6","6",1,1,"",NA,NA,3,20,NA,"CP"
"120","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","10","6","6",1,1,"",NA,NA,3,20,NA,"CP"
"121","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","11",NA,NA,NA,1,"",NA,NA,3,20,NA,"CP"
"122","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","12",NA,NA,NA,1,"",NA,NA,3,20,NA,"CP"
"123","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","13",NA,NA,NA,1,"",NA,NA,3,20,NA,"CP"
"124","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","14",NA,NA,NA,1,"",NA,NA,3,20,NA,"CP"
"125","one-one_10","3.849418207","F","English",0,"","CP","Identical","Give_N","15",NA,NA,NA,1,"",NA,NA,3,20,NA,"CP"
"126","one-one_11","3.578370979","F","English",0,"","4","Identical","Parallel","1","3","3",1,0,"",NA,NA,3,10,"Small","Subset"
"127","one-one_11","3.578370979","F","English",0,"","4","Identical","Parallel","2","4","4",1,0,"",NA,NA,3,10,"Small","Subset"
"128","one-one_11","3.578370979","F","English",0,"","4","Identical","Parallel","3","10","15",0,0,"",NA,NA,3,10,"Large","Subset"
"129","one-one_11","3.578370979","F","English",0,"","4","Identical","Parallel","4","8","10",0,0,"",NA,NA,3,10,"Large","Subset"
"130","one-one_11","3.578370979","F","English",0,"","4","Identical","Parallel","5","6","9",0,0,"",NA,NA,3,10,"Large","Subset"
"131","one-one_11","3.578370979","F","English",0,"","4","Identical","Orthogonal","1","4","5",0,0,"",NA,NA,3,10,"Small","Subset"
"132","one-one_11","3.578370979","F","English",0,"","4","Identical","Orthogonal","2","3","3",1,0,"",NA,NA,3,10,"Small","Subset"
"133","one-one_11","3.578370979","F","English",0,"","4","Identical","Orthogonal","3","8","7",0,0,"",NA,NA,3,10,"Large","Subset"
"134","one-one_11","3.578370979","F","English",0,"","4","Identical","Orthogonal","4","10","6",0,0,"",NA,NA,3,10,"Large","Subset"
